,Season,Player,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
40,2000,Cintia dos Santos,32,820,31,94,222,0.423,0,1,0.0,94,221,.425,40,57,.702,35,124,38,16,63,54,111,228
41,2000,Margo Dydek,32,775,32,105,236,0.445,2,14,0.143,103,222,.464,82,103,.796,29,175,51,18,96,82,114,294
42,2000,Simone Edwards,29,645,7,83,182,0.456,0,0,,83,182,.456,50,80,.625,38,107,22,16,10,44,57,216
43,2000,Tonya Edwards,32,926,32,112,298,0.376,35,114,0.307,77,184,.418,79,101,.782,19,76,58,36,9,63,80,338
44,2000,Shalonda Enis,12,323,9,41,104,0.394,11,32,0.344,30,72,.417,46,60,.767,21,45,10,10,1,16,30,139
45,2000,Summer Erb,29,275,0,32,73,0.438,0,1,0.0,32,72,.444,28,43,.651,26,63,10,8,6,17,68,92
46,2000,Barbara Farris,14,130,2,15,30,0.5,0,1,0.0,15,29,.517,15,27,.556,16,32,2,6,1,14,30,45
47,2000,Allison Feaster,32,469,0,60,167,0.359,22,85,0.259,38,82,.463,60,72,.833,36,85,33,23,2,35,47,202
48,2000,Marina Ferragut,23,154,4,23,53,0.434,3,10,0.3,20,43,.465,1,2,.500,4,17,4,0,2,11,34,50
49,2000,Ukari Figgs,32,803,32,66,153,0.431,29,82,0.354,37,71,.521,54,65,.831,14,55,127,21,3,43,53,215
50,2000,Olga Firsova,9,19,0,4,10,0.4,0,1,0.0,4,9,.444,4,5,.800,0,4,1,0,1,2,8,12
51,2000,Milena Flores,32,474,0,34,112,0.304,18,61,0.295,16,51,.314,26,42,.619,6,23,49,23,3,48,36,112
52,2000,Kristin Folkl,32,845,20,86,191,0.45,4,19,0.211,82,172,.477,66,94,.702,38,154,67,23,22,50,80,242
53,2000,Kisha Ford,28,424,0,33,108,0.306,1,4,0.25,32,104,.308,35,61,.574,32,62,21,32,1,27,65,102
54,2000,Desiree Francis,1,2,0,0,1,0.0,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0
55,2000,Stacy Frese,21,222,0,10,30,0.333,9,26,0.346,1,4,.250,33,36,.917,4,18,17,4,0,14,14,62
56,2000,La'Keshia Frett,25,187,0,14,51,0.275,0,1,0.0,14,50,.280,12,16,.750,8,24,6,7,6,13,10,40
57,2000,Andrea Garner,32,560,19,37,115,0.322,1,2,0.5,36,113,.319,24,38,.632,42,97,25,27,10,43,44,99
58,2000,Cornelia Gayden,3,7,0,1,2,0.5,0,1,0.0,1,1,1.000,0,0,,0,0,1,0,0,0,0,2
59,2000,Kelley Gibson,17,76,0,7,19,0.368,3,7,0.429,4,12,.333,7,8,.875,4,12,2,1,0,4,11,24
60,2000,Jennifer Gillom,30,826,30,139,316,0.44,19,69,0.275,120,247,.486,79,106,.745,31,116,45,21,29,59,91,376
61,2000,Usha Gilmore,4,21,0,1,5,0.2,0,1,0.0,1,4,.250,0,0,,3,5,2,0,0,4,6,2
62,2000,Adrienne Goodson,29,929,28,199,415,0.48,8,29,0.276,191,386,.495,92,134,.687,69,164,69,41,7,81,67,498
63,2000,Vedrana Grgin-Fonseca,18,183,0,17,62,0.274,1,17,0.059,16,45,.356,14,23,.609,9,23,12,3,1,14,17,49
64,2000,Yolanda Griffith,32,1026,32,193,361,0.535,0,0,,193,361,.535,137,194,.706,148,331,47,83,61,82,110,523
65,2000,Lady Grooms,30,401,3,39,88,0.443,0,1,0.0,39,87,.448,46,61,.754,27,44,13,10,3,21,27,124
66,2000,Gordana Grubin,29,720,20,90,239,0.377,28,91,0.308,62,148,.419,31,40,.775,20,76,63,31,0,60,47,239
67,2000,Vicki Hall,32,577,10,59,158,0.373,10,42,0.238,49,116,.422,22,34,.647,24,92,24,17,8,25,60,150
68,2000,Becky Hammon,32,835,16,119,252,0.472,52,141,0.369,67,111,.604,61,69,.884,19,64,58,29,1,62,55,351
69,2000,Romana Hamzova,15,43,0,2,11,0.182,0,3,0.0,2,8,.250,3,6,.500,1,3,5,5,0,4,4,7
70,2000,Donna Harrington,8,67,0,1,6,0.167,0,0,,1,6,.167,6,10,.600,4,9,5,2,1,11,16,8
71,2000,Lisa Harrison,31,750,20,81,154,0.526,8,12,0.667,73,142,.514,30,37,.811,38,121,36,30,4,22,62,200
72,2000,Dena Head,17,149,1,8,22,0.364,1,7,0.143,7,15,.467,10,16,.625,5,18,15,4,0,11,17,27
73,2000,Sonja Henning,32,980,32,53,151,0.351,25,66,0.379,28,85,.329,37,61,.607,22,86,79,61,3,54,73,168
74,2000,Amy Herrig,25,341,0,36,75,0.48,0,1,0.0,36,74,.486,19,31,.613,26,59,20,7,5,29,41,91
